id;"protected;";"followers_count;";"friends_count;";"favourites_count;";"profile_use_background_image;";"hashtags_average;";"mentions_average;";"urls_average;";"description;";"statuses_count;";"listed_count;";"verified;";"contributors_enabled;";"default_profile;";"default_profile_image;";"is_translator;";is_fake
1;FALSE;2232;414;4227;TRUE;0.1;0.85;0.35;101;3415;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
2;FALSE;19;128;479;TRUE;0.05;0.6;0;0;140;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
3;FALSE;121;53;1567;TRUE;0.2;0.35;0;67;1242;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
4;FALSE;4112;710;1129;TRUE;0.75;0.5;0;35;8066;3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
5;FALSE;304;175;3424;TRUE;0.85;1.1;0;69;1525;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
6;FALSE;13;50;0;TRUE;0;0;0;0;0;0;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
7;FALSE;39;53;4;TRUE;0;0;0;0;0;0;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
8;FALSE;1065;22;0;FALSE;0;0;1;85;8812;0;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
9;FALSE;1193;2039;2470;TRUE;0.35;0.45;0;71;1955;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
10;FALSE;7;92;1;TRUE;0;0;1;0;1;0;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
11;FALSE;1409;1996;13332;TRUE;0.2;1.15;0.05;110;14870;7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
12;FALSE;758;95;9226;TRUE;0;1.25;0;0;382;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
13;FALSE;2459;3290;13324;FALSE;0.25;2.25;0.3;2;13584;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
14;FALSE;6726;1724;100;TRUE;1.7;0;0.9;20;5607;5;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
15;FALSE;156;177;3760;TRUE;0.5;0.15;0.35;35;508;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
16;FALSE;1892;232;18;TRUE;2.8;0;1;84;27999;2;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
17;FALSE;1326;68;19;FALSE;0.45;0.3;0.05;21;235;1;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
18;FALSE;174;298;534;TRUE;0.2;0.05;0;36;919;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
19;FALSE;6860;5634;6;TRUE;3.5;0.25;0;87;14136;1;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
20;FALSE;540;245;4724;TRUE;0.1;0.15;0.15;126;19775;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
21;FALSE;31772;32349;34548;TRUE;0.45;0.05;0.05;138;1903;16;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
22;FALSE;3583;2137;3181;TRUE;0;0.05;0;113;8320;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
23;FALSE;197;175;474;TRUE;0.7;0.25;0.15;0;329;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
24;FALSE;84;9;210;TRUE;0.95;0.1;0;17;319;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
25;FALSE;883290;65;2789;FALSE;0.85;0.6;0.65;77;51521;544;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
26;FALSE;1253;69;62950;TRUE;0.05;0.85;0.6;58;98728;69;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
27;FALSE;933919;1;0;TRUE;0.75;0.65;0.15;5;262;2395;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
28;FALSE;273;4901;19990;TRUE;0.15;0.95;0.2;28;7364;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
29;FALSE;88;84;146;FALSE;0.15;0.95;0.05;104;626;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
30;FALSE;12674;9066;28263;TRUE;0;0.35;0;0;1727;67;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
31;FALSE;285;298;407;TRUE;0.1;0.95;0.05;43;15837;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
32;FALSE;923;244;2019;TRUE;0.45;0.15;0.15;27;1951;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
33;FALSE;15452;15312;16159;TRUE;0.6;1.8;0.05;158;16128;6;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
34;FALSE;433;2218;11;FALSE;2.05;0.1;1.5;45;135;0;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
35;FALSE;2738;4787;25685;TRUE;0.8;0.15;0.05;45;369;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
36;FALSE;429;195;8067;FALSE;0.05;0.6;0.05;29;1439;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
37;FALSE;163;352;257;TRUE;0.25;0.95;0.05;89;472;2;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
38;FALSE;1512;660;30517;TRUE;0.7;0.65;0;100;6800;2;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
39;FALSE;225;99;4380;TRUE;0.1;0.05;0;154;1352;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
40;FALSE;76;102;105;TRUE;0.8;0.1;0;59;1132;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
41;FALSE;49825;5255;30099;TRUE;0.3;2.95;0.1;32;105693;62;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
42;FALSE;343;361;5310;FALSE;0.75;0;0.2;113;1663;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
43;FALSE;111888;35392;41993;TRUE;0.15;1.7;0.5;130;41244;77;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
44;FALSE;103;248;337;TRUE;0;1.7;0.9;58;274;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
45;FALSE;12546;11742;21820;TRUE;0.35;1.85;0.1;129;19321;6;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
46;FALSE;2;7;39;TRUE;0.1;0.95;0;0;115;0;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
47;FALSE;146;300;599;TRUE;0.05;0.7;0;29;1578;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
48;FALSE;1756;854;2660;TRUE;0.05;1;0.1;67;10476;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
49;FALSE;14589;15479;201;TRUE;0;0;0;141;45976;7;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
50;FALSE;2986450;9;0;TRUE;0.9;0;0.5;119;284;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
51;FALSE;752;843;40568;TRUE;0.05;0.8;0;26;5299;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
52;FALSE;2685;1050;772;FALSE;0.65;0.2;0.1;20;1110;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
53;FALSE;201;100;2299;TRUE;0.05;0.55;0;92;530;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
54;FALSE;172;172;8178;FALSE;0.15;0.8;0;0;1695;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
55;FALSE;88;148;638;TRUE;0.1;0.55;0;0;192;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
56;FALSE;27030;25712;85360;TRUE;1.3;0;0.95;111;6107;30;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
57;FALSE;640;440;4754;TRUE;0.85;0.1;0;89;204;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
58;FALSE;1052;1008;14922;TRUE;0;0.9;0.35;0;9267;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
59;FALSE;80275;62891;13768;TRUE;0.5;0.2;0.4;110;18303;96;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
60;FALSE;63;135;1283;TRUE;0;1.05;0.1;0;2116;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
61;FALSE;166;56;601;TRUE;0.2;0.3;0.1;46;1065;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
62;FALSE;133;62;2484;TRUE;0.05;0.85;0;96;266;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
63;FALSE;790;903;316;TRUE;0.1;0.2;0.1;25;271;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
64;FALSE;4379;4820;13736;TRUE;0;0.3;0;42;6495;2;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
65;FALSE;234;94;621;FALSE;0.2;0.65;0.1;77;55;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
66;FALSE;3102;1750;6298;FALSE;1.45;2.1;0.35;157;4594;247;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
67;FALSE;183;227;448;FALSE;0.05;0.74;0.16;28;538;3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
68;FALSE;359;39;0;TRUE;0;0;1;0;35781;7;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
69;FALSE;15199;16169;1137;TRUE;0.3;0.8;0.25;0;140379;14;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
70;FALSE;3095;3335;2686;TRUE;0.25;0.55;0.1;120;5394;3;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
71;FALSE;5192;160;57;TRUE;0;0.6;0.1;35;41080;23;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
72;FALSE;31757;17875;3326;FALSE;2.2;0.3;0.95;159;451;24;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
73;FALSE;3;0;0;FALSE;3.7;0;2;21;1615;0;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
74;FALSE;171;12;0;TRUE;0;0;1;155;8419;0;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
75;FALSE;189;442;268;TRUE;0.05;1.6;0;45;7664;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
76;FALSE;552;530;866;TRUE;1.55;1;0;7;877;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
77;TRUE;52;175;269;FALSE;0;1.37;0.32;21;98;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
78;FALSE;4536;556;7420;FALSE;1;0;0.95;0;65;2;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
79;FALSE;8;179;4;TRUE;0.8;0.6;1;0;1154;0;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
80;FALSE;19651;13120;101190;FALSE;0.5;0.8;0.15;61;100965;37;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
81;FALSE;2124;496;42;TRUE;0.55;1.1;0.05;40;478;3;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
82;FALSE;4;89;2;TRUE;2.5;0.25;0.25;6;4;0;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
83;FALSE;42447;176;4141;TRUE;0;0.15;0.45;46;475;127;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
84;FALSE;1289;1257;16009;TRUE;0.1;0.8;0.15;0;369;4;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
85;FALSE;1236;176;2154;TRUE;0.4;0.5;0.25;149;4852;4;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
86;FALSE;147;198;721;TRUE;0.35;0.85;0.15;0;1467;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
87;FALSE;25830;992;21583;TRUE;0;1.05;0.25;157;103319;263;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
88;FALSE;224;244;350;FALSE;0.7;0.6;0;19;92;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
89;FALSE;699;541;11479;TRUE;3.35;0.1;0.5;157;24444;3;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
90;FALSE;463;966;558;TRUE;0.15;0.9;0;76;2456;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
91;FALSE;84931;58777;21024;TRUE;0.2;0.1;0.35;76;4773;129;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
92;FALSE;1556;2;0;TRUE;0;0;0;0;1;4;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
93;FALSE;383;308;5567;TRUE;0.8;0.9;0.1;11;253;2;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
94;FALSE;113;240;1372;TRUE;0.25;1.1;0.1;93;1852;3;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
95;FALSE;228;122;1349;TRUE;0.15;1.8;0.3;40;6851;1;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
96;FALSE;552;163;839;TRUE;0;1;0.35;115;15870;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
97;FALSE;1854;904;90697;TRUE;0.1;0.4;0.05;66;293;17;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
98;FALSE;25696;17136;103148;TRUE;0.65;0.3;0.6;76;136262;42;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
99;FALSE;208;240;5842;TRUE;0.1;1.95;0.25;0;9063;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
100;FALSE;776;679;35964;TRUE;0.35;1.35;0.15;160;8833;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
101;FALSE;100541;41474;844;TRUE;0.37;0.32;0.05;3;4518;76;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
102;FALSE;132;117;29;TRUE;0.75;0;0.25;69;45;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
103;FALSE;5629;4;2185;TRUE;4.1;0;0.05;72;9461;13;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
104;FALSE;7922;6879;22419;TRUE;0.7;0.9;0.15;158;32805;10;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
105;FALSE;1326;2011;1021;FALSE;0.8;0.1;0;98;217;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
106;FALSE;9764;8178;12042;TRUE;0.6;2.4;0.1;160;13333;15;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
107;FALSE;5150;279;207;TRUE;0.14;0;1.29;0;34;4;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
108;FALSE;1035;405;2921;FALSE;0.15;0;1;23;69530;4;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
109;FALSE;2572;4405;19313;FALSE;0.35;1;0.3;0;43145;7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
110;FALSE;461;62;239;TRUE;0.75;0.45;0.25;54;3694;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
111;FALSE;448;426;5426;TRUE;0.3;0.6;0.05;75;4092;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
112;FALSE;536;319;1032;TRUE;0.5;0.45;0.05;46;635;3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
113;FALSE;520;250;6935;FALSE;0.3;0.5;0.1;54;3141;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
114;FALSE;14772;5782;53588;TRUE;0.1;1.3;0.2;28;58486;41;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
115;FALSE;10916;6357;21324;TRUE;0.45;4.75;0.4;22;33296;17;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
116;FALSE;1445;969;12002;TRUE;0.06;0.44;0.11;61;13998;3;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
117;FALSE;359;39;0;TRUE;0;0;1;0;35781;7;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
118;FALSE;3604;1564;131704;TRUE;0.55;0.05;0.25;160;945;24;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
119;FALSE;130;161;826;TRUE;0.1;0.85;0.05;31;328;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
120;FALSE;44;41;1064;TRUE;0.75;0.2;0;0;1108;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
121;FALSE;301;16;9663;TRUE;0.7;0.45;0;65;9220;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
122;FALSE;6836;4403;31187;TRUE;0.5;2.1;0.05;154;20132;4;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
123;FALSE;536;332;414;TRUE;0.2;1.9;0.45;158;2649;8;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
124;FALSE;4253;5644;19086;FALSE;0.11;0.56;0.33;129;16204;8;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
125;FALSE;509;243;3222;TRUE;0;0.15;0.15;25;2850;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
126;FALSE;533;563;7674;FALSE;0.05;1.15;0.2;70;5507;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
127;FALSE;276;624;4261;TRUE;2.1;0.4;0.45;55;12297;25;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
128;FALSE;1273;495;8461;TRUE;0.35;0.6;0;21;33588;5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
129;FALSE;1040;918;15220;TRUE;0;1.65;0.2;108;21903;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
130;FALSE;752;500;3672;TRUE;0;0.5;0.25;50;3321;2;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
131;FALSE;46317;43767;8318;TRUE;0.65;0.5;0.45;23;17935;45;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
132;FALSE;293682;1725;24982;TRUE;0.35;0.35;0.1;5;1366;622;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
133;FALSE;21889;463;20145;TRUE;0.1;1.3;0.2;101;57458;103;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
134;FALSE;17220;9825;30221;TRUE;0.3;4.05;0.2;77;28842;19;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
135;FALSE;568;199;3366;TRUE;0.05;0.9;0.05;23;9607;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
136;FALSE;10784;10787;4190;FALSE;0.45;0.4;0.45;97;1097;4;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
137;FALSE;10818;1716;10773;TRUE;0.8;0.9;0.15;84;7268;4;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
138;FALSE;5;0;2;TRUE;4.3;0;1;33;795;0;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
139;FALSE;5763;1189;74759;TRUE;0.35;3.85;0.2;136;147785;15;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
140;FALSE;28;10;3;TRUE;0.4;0;1;23;717;0;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
141;FALSE;798;377;5350;TRUE;0.5;0.5;0;41;1728;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
142;FALSE;4198;3336;62927;TRUE;0.05;0.55;0.2;55;10603;10;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
143;FALSE;513;1019;2288;TRUE;1.2;1.25;0.05;45;440;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
144;FALSE;6829;4293;78769;TRUE;0.3;4.1;0.05;28;99629;13;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
145;FALSE;46068;319;220;TRUE;2.45;0.05;1.3;23;750;0;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
146;FALSE;318;288;89;TRUE;1.95;0.05;1.8;63;170;0;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
147;FALSE;3;75;0;TRUE;0.5;0;1;8;29;0;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
148;FALSE;36;220;29;TRUE;1.68;0.32;0.37;0;31;0;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
149;FALSE;71;34;115;TRUE;2.8;0.1;0.05;5;74;0;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
150;FALSE;0;31;0;TRUE;0.45;0;0.6;0;27;0;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
151;FALSE;131;26;0;FALSE;4.35;0;1;109;608;3;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
152;FALSE;6208;3656;4727;FALSE;1.9;2;0.7;64;2636;12;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
153;FALSE;11181;6707;126921;TRUE;0.2;0.55;0.35;72;18218;38;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
154;FALSE;6264;399;8271;FALSE;0.2;0.55;0.1;143;4721;4;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
155;FALSE;6737;3682;44810;TRUE;0.1;2.6;0.05;154;32488;15;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
156;FALSE;20832;13078;75442;TRUE;0.45;1;0;128;15608;44;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
157;FALSE;749;1999;998;TRUE;0.25;0.6;0.1;49;7301;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
158;FALSE;493;1488;80;TRUE;0.15;1.45;0.45;131;4757;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
159;FALSE;1796;195;13603;TRUE;0.7;0.55;0.65;22;44645;16;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
160;FALSE;78909;77767;42247;TRUE;0;0.15;0.75;156;10808;40;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
161;FALSE;129909;7;3097;TRUE;0;0.1;0.6;149;6476;128;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
162;FALSE;2626;0;0;TRUE;0.15;0.1;0.35;118;264;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
163;FALSE;20254;16739;5077;TRUE;0.8;0;1.95;27;2090;5;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
164;FALSE;1;49;2;FALSE;0.3;0.6;0.1;0;34;0;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
165;FALSE;17945;85;7255;TRUE;1.45;0.9;0;154;1794;19;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
166;FALSE;4455;266;183;TRUE;0.15;0;1;114;6558;14;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
167;FALSE;772;737;1724;TRUE;0.5;0.25;0.15;89;2905;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
168;FALSE;1239;1374;29;TRUE;2.1;0;1.85;23;2041;1;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
169;FALSE;35346;18731;3520;FALSE;0.2;1;0.05;137;4914;13;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
170;FALSE;3346;2;6;TRUE;3.8;0;0.05;73;5817;5;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
171;FALSE;62862;44567;77689;TRUE;0;0.1;0.6;160;5281;117;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172;FALSE;24712;21327;85414;TRUE;0;0.85;0.05;49;22674;75;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
173;FALSE;81;65;1844;TRUE;0.9;0.1;0;105;1578;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
174;FALSE;427;243;3264;TRUE;0;0.35;0;115;1446;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
175;FALSE;2148;2280;5757;TRUE;0.6;2;0;96;3181;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
176;FALSE;41;11;1;TRUE;0.7;0.5;0.4;0;69;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
177;FALSE;1346;893;4009;TRUE;0.2;0.4;0.05;122;4765;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
178;FALSE;626;713;360;TRUE;0.15;1.2;0.05;62;445;0;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
179;FALSE;216353;94;184372;TRUE;0.05;0.3;0.2;38;2539;115;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
180;FALSE;12;30;97;TRUE;0.95;0;0;0;209;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
181;FALSE;170;222;1258;FALSE;0.6;0.55;0;127;234;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
182;FALSE;18983;15758;5764;TRUE;0.8;0.7;0.65;160;119010;134;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
183;FALSE;423588;367306;3098;TRUE;0;0.1;0.25;79;1767;112;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
184;FALSE;540;913;2760;TRUE;0.05;1.05;0.1;38;789;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
185;FALSE;2106;486;5646;FALSE;0.3;0.5;0.1;58;3263;4;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
186;FALSE;3699;3462;33092;TRUE;0.25;0.7;0.15;105;6813;9;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
187;FALSE;340;196;447;TRUE;0.05;1.15;0.25;17;5888;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
188;FALSE;115;35;3003;TRUE;1.15;0.7;0.6;160;3702;0;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
189;FALSE;336;117;93;TRUE;0.15;0.55;0.05;68;143;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
